Name,Repository,Latest Tag,Image Size,Updated Date,Permission,Signed Tag?,Access Type,Associated Products
Llama-3-Taiwan-70B-Instruct,nim/yentinglin/llama-3-taiwan-70b-instruct,latest,6.27 GB,"Aug 27, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
NVIDIA Retrieval QA Mistral 7B Embedding v2,nim/nvidia/nv-embedqa-mistral-7b-v2,1.0.1,7.98 GB,"Nov 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Llama-3.1-Nemotron-70B-Instruct,nim/nvidia/llama-3.1-nemotron-70b-instruct,1.2,6.37 GB,"Nov 21, 2024",unlocked,True,LISTED,"nv-ai-enterprise, nim-dev"
Mixtral-8x22B-Instruct-v0.1,nim/mistralai/mixtral-8x22b-instruct-v01,1.2.2,6.37 GB,"Sep 26, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Earth-2 FourCastNet,nim/nvidia/fourcastnet,1.0.0,19.62 GB,"Nov 18, 2024",unlocked,True,LISTED,"earth-2-inference, nv-ai-enterprise"
AlphaFold2,nim/deepmind/alphafold2,latest,14.12 GB,"Nov 19, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Llama-3-Swallow-70B-Instruct-v0.1,nim/tokyotech-llm/llama-3-swallow-70b-instruct-v0.1,latest,6.27 GB,"Aug 27, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Llama-3.1-70b-instruct,nim/meta/llama-3.1-70b-instruct,1.3.0,7.02 GB,"Nov 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
NV-CLIP,nim/nvidia/nvclip,1.0.0,13.5 GB,"Oct 03, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
NMT Megatron Riva 1b,nim/nvidia/megatron-1b-nmt,1.0.0,6.84 GB,"Aug 06, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
RFdiffusion,nim/ipd/rfdiffusion,2.0,11.21 GB,"Oct 30, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
meta-llama-2-7b-chat,nim/meta/llama-2-7b-chat,1.0.3,5.98 GB,"Aug 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
VISTA-3D NIM,nim/nvidia/vista3d,latest,13.53 GB,"Nov 27, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Mistral-NeMo-Minitron-8B-Instruct,nim/nv-mistralai/mistral-nemo-minitron-8b-8k-instruct,1.2.3,6.37 GB,"Oct 23, 2024",unlocked,True,LISTED,"nv-ai-enterprise, nim-dev"
Nemotron-4-340B-Reward,nim/nvidia/nemotron-4-340b-reward,1.2.0,6.37 GB,"Sep 16, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Llama-3.1-8b-base,nim/meta/llama-3.1-8b-base,1.1.2,6.27 GB,"Aug 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Llama-3.1-8b-instruct,nim/meta/llama-3.1-8b-instruct,1.3,7.02 GB,"Nov 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Mixtral-8x7B-Instruct-v0.1,nim/mistralai/mixtral-8x7b-instruct-v01,1.2.1,6.37 GB,"Sep 20, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Meta/Llama3-8b-instruct,nim/meta/llama3-8b-instruct,1.0.3,5.98 GB,"Aug 02, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
CodeLlama-70B-Instruct,nim/meta/codellama-70b-instruct,1.2.2,6.37 GB,"Oct 07, 2024",unlocked,True,LISTED,"nv-ai-enterprise, nim-dev"
Llama-3-SQLCoder-8B,nim/defog/llama-3-sqlcoder-8b,latest,6.37 GB,"Oct 31, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
nemotron-4-340b-instruct,nim/nvidia/nemotron-4-340b-instruct,1.1.2,6.27 GB,"Aug 29, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Llama-3.1-405b-instruct,nim/meta/llama-3.1-405b-instruct,1.2.0,6.37 GB,"Sep 11, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Snowflake Arctic Embed Large Embedding,nim/snowflake/arctic-embed-l,1.0.1,7.98 GB,"Nov 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Mistral-7B-Instruct-v0.3,nim/mistralai/mistral-7b-instruct-v0.3,1.3.0,7.02 GB,"Nov 28, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
CodeLlama-13B-Instruct,nim/meta/codellama-13b-instruct,1.2.2,6.37 GB,"Oct 07, 2024",unlocked,True,LISTED,"nv-ai-enterprise, nim-dev"
Eye Contact,nim/nvidia/maxine-eye-contact,1.0.0,15.66 GB,"Oct 09, 2024",unlocked,True,LISTED,nv-ai-enterprise
Phi-3-Mini-4K-Instruct,nim/microsoft/phi-3-mini-4k-instruct,1.2.3,6.37 GB,"Oct 22, 2024",unlocked,True,LISTED,"nv-ai-enterprise, nim-dev"
ASR Parakeet CTC Riva 1.1b,nim/nvidia/parakeet-ctc-1.1b-asr,1.0.0,6.84 GB,"Aug 06, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
MolMIM,nim/nvidia/molmim,1.0.0,13.04 GB,"Aug 01, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Phind-CodeLlama-34B-v2-Instruct,nim/phind/phind-codellama-34b-v2-instruct,1.2.3,6.37 GB,"Oct 30, 2024",unlocked,True,LISTED,"nv-ai-enterprise, nim-dev"
Meta/Llama3-70b-instruct,nim/meta/llama3-70b-instruct,1.0.3,5.98 GB,"Aug 02, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
meta-llama-2-70b-chat,nim/meta/llama-2-70b-chat,1.0.3,5.98 GB,"Aug 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
TTS FastPitch HifiGAN Riva,nim/nvidia/fastpitch-hifigan-tts,1.0.0,6.84 GB,"Aug 06, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
AlphaFold2-Multimer,nim/deepmind/alphafold2-multimer,1.0.0,11.62 GB,"Oct 07, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
CodeLlama-34B-Instruct,nim/meta/codellama-34b-instruct,latest,6.37 GB,"Oct 07, 2024",unlocked,True,LISTED,"nv-ai-enterprise, nim-dev"
Mistral-Nemo-12B-Instruct,nim/nv-mistralai/mistral-nemo-12b-instruct,1.2,6.37 GB,"Sep 26, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
NVIDIA Retrieval QA Mistral 4B Reranking v3,nim/nvidia/nv-rerankqa-mistral-4b-v3,1.0.2,7.93 GB,"Nov 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Earth-2 CorrDiff,nim/nvidia/corrdiff,1.0.0,14.42 GB,"Nov 18, 2024",unlocked,True,LISTED,"earth-2-inference, nv-ai-enterprise"
DiffDock,nim/mit/diffdock,2,12.84 GB,"Oct 29, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
ProteinMPNN,nim/ipd/proteinmpnn,1,8.97 GB,"Aug 27, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
Llama-3.1-70b-instruct PB October 2024 (PB 24h2),nim/meta/llama-3.1-70b-instruct-pb24h2,1.3.1,7.02 GB,"Nov 27, 2024",unlocked,True,LISTED,nv-ai-enterprise
NVIDIA Retrieval QA E5 Embedding v5 PB October 2024 (PB 24h2),nim/nvidia/nv-embedqa-e5-v5-pb24h2,1.2.0,7.5 GB,"Nov 27, 2024",unlocked,True,LISTED,nv-ai-enterprise
Llama-3.1-8b-instruct PB October 2024 (PB 24h2),nim/meta/llama-3.1-8b-instruct-pb24h2,1.3.1,7.02 GB,"Nov 27, 2024",unlocked,True,LISTED,nv-ai-enterprise
meta-llama-2-13b-chat,nim/meta/llama-2-13b-chat,1.0.3,5.98 GB,"Aug 21, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
NVIDIA Retrieval QA E5 Embedding v5,nim/nvidia/nv-embedqa-e5-v5,1.1.0,5.28 GB,"Oct 25, 2024",unlocked,True,LISTED,"nim-dev, nv-ai-enterprise"
